Time,RRI,SpO2,SBP,DBP,MAP,HR,CO,SV,TPR
17.67134995,1.08665,95.78134346,112.03125,65.03125,82.14914062,60.68321228,4009.869141,72.65625,14.1976
18.75799995,1.0467,95.78188593,111.59375,64.4375,81.71464266,57.32335663,4668.987305,81.53125,15.0492
19.80469995,1.03245,95.26339653,109.40625,64.9375,80.16489034,57.32335663,5035.639648,86.84375,15.0894
20.83714995,0.8878,94.78454994,104.46875,63,78.06944561,58.11386871,6706.81543,99.375,14.9178
21.72494995,0.8168,94.78339059,100.40625,63.6875,76.50501894,67.58135223,7075.824707,96.84375,15.1101
22.54174995,0.81365,94.78375223,102.15625,62.9375,77.68408937,73.4592514,6651.977051,90.25,14.8812
23.35539995,0.8981,94.78730793,105,64.65625,79.8423746,66.80764771,5477.726074,82.0625,14.3773
24.25349995,1.15455,94.79040806,109.1875,65.96875,80.24133117,51.96834564,3693.649902,71.5,13.5723
25.40804995,1.1487,94.79606702,110.0625,61.9375,80.10017085,52.23166275,4114.451172,79,14.132
26.55674995,1.08525,94.79294085,106.9375,61.96875,78.34015319,52.23166275,4602.607422,83.46875,16.6477
27.64199995,1.0337,94.79434616,101.28125,60.75,75.28514553,55.28657532,5323.588379,91.8125,15.2025
28.67569995,1.0123,94.79495024,98.15625,59.71875,73.27641408,59.26887512,6192.856934,104.53125,15.031
29.68799995,1.01525,94.8646885,98.28125,59.03125,73.30933945,59.10066605,5565.805176,94.15625,15.5891
30.70324995,1.03215,95.79787943,99.78125,59.4375,74.35598817,58.13041306,4810.473633,82.59375,15.7992
31.73539995,1.07225,95.7968393,101,59.78125,75.61986031,55.95538712,4366.058594,78.0625,15.3528
32.80764995,1.1012,95.79206207,101.1875,60.03125,75.92141391,54.48633957,4398.478027,80.71875,15.0871
33.90884995,1.04835,95.78694645,99.8125,60.1875,75.47392554,54.48633957,4828.657715,84.90625,15.1699
34.95719995,1.03305,95.11283336,96.46875,60.46875,73.61293935,57.23447037,5175.776367,89.5,15.912
35.99024995,1.00415,94.78398708,95.6875,59.4375,72.94465033,59.75156021,5195.771973,86.875,15.9752
36.99439995,0.9526,94.78823089,95.78125,59.40625,73.50993498,59.75156021,5332.07959,84.75,16.9184
37.94699995,0.9969,94.79227794,97.90625,60.90625,75.79215361,62.98600006,4403.504395,73.0625,16.6291
38.94389995,1.06925,94.79363163,104.53125,63.1875,80.20812786,60.18799973,4147.294922,74.46875,15.74
40.01314995,1.1256,94.79639609,106.78125,64.9375,81.20255317,53.30343246,4024.942383,75.65625,15.8309
41.13874995,1.05405,94.80005841,107.0625,64.1875,80.93681232,53.30343246,4496.915039,78.5625,15.8674
42.19279995,1.0484,94.79925661,106,65.5,80.27859482,57.23147583,5167.787598,90.28125,16.5584
43.24119995,1.01115,94.79621285,104.8125,64.9375,79.26177644,59.33848572,5457.435059,92.03125,16.0754
44.25234995,0.94355,94.80019938,100.65625,62.78125,76.81683257,59.33848572,5777.651367,90.625,16.4522
45.19589995,0.83895,94.79840873,95.96875,62.21875,74.63378762,71.52023315,6035.50293,84.0625,16.3048
46.03484995,0.79645,94.79266197,98.96875,62.4375,76.44533331,71.52023315,6227.586426,82.84375,15.9686
46.83129995,0.811,93.977127,103.75,64.65625,80.36958462,75.33294678,5689.374023,76.59375,15.6701
47.64229995,0.9161,93.79900529,108.5,67.21875,83.26745501,73.98165894,4466.718262,68.3125,14.5351
48.55839995,1.1109,93.79947565,112.3125,67.9375,83.43267882,54.00976563,3993.68457,73.71875,13.6413
49.66929995,1.0967,93.7964889,117.78125,65.53125,84.6908333,54.00976563,4416.490723,80.90625,14.454
