"Time","VI","VTI","FB","PETO2","PETCO2"
26.75624995,-5.445064068,-1.09007442,7.968127728,95.49660492,42.41423416
33.76624995,-5.229085922,-0.636164963,8.559201241,94.46269989,42.39278793
42.68624995,-8.261897087,-0.777390778,6.726457596,91.56774139,44.64495468
52.39624995,-6.412234306,-1.337050319,6.179196835,92.60166168,43.27220535
62.19374995,-7.071712494,-1.047064424,6.12401104,92.60166168,43.65829086
71.71374995,-8.171684265,-1.12204504,6.302521229,92.18809509,43.61539078
79.94624995,-6.378717422,-1.121223211,7.288187027,92.80843353,43.14351273
87.17874995,-8.549138069,-0.768901169,8.295886993,91.98130035,43.35799789
97.01624995,-8.277292252,-1.401702404,6.099110603,93.22200775,43.18640518
105.49125,-7.297319889,-1.169167519,7.079646111,93.84234619,42.65017319
114.09375,-6.698599815,-1.046253204,6.974716663,93.22200775,43.22930527
121.59875,-7.262457848,-0.837883174,7.994670391,92.60166168,43.31510544
132.18625,-10.65923977,-1.281521201,5.667060375,91.98130035,43.78699112
142.75875,-7.667750835,-1.878246903,5.675100327,96.53052521,41.36322021
152.04875,-7.596347809,-1.187223434,6.458557606,95.49660492,42.58582687
160.11375,-7.577647686,-1.021075726,7.439553738,94.66947174,42.88611984
167.11625,-8.861857414,-0.884374559,8.568368912,93.22200775,43.27220535
173.83625,-8.070802689,-0.992528021,8.928571701,93.01522064,43.16496277
180.13375,-9.49674511,-0.847097933,9.527590752,92.60166168,43.22930527
190.83375,-11.74333858,-1.693586111,5.607476711,94.66947174,42.60728073
200.76375,-7.300208092,-1.943522573,6.042295933,99.01190948,41.12727737
209.90375,-7.077723026,-1.112065077,6.564551353,97.35765839,42.67161942
219.27625,-6.41640377,-1.105599284,6.401707172,95.70339203,43.31510544
229.66625,-11.54944038,-1.11110723,5.774783611,93.63556671,44.02293015
238.84875,-8.53109169,-1.767545581,6.534168243,98.80513,41.25597382
245.29375,-5.878881931,-0.916381359,9.309542656,97.77121735,42.00669861
252.08375,-8.951565742,-0.665293515,8.83652401,96.73730469,42.00669861
261.83625,-6.670409203,-1.455002427,6.152268887,97.15086365,42.67161942
272.59625,-6.258054733,-1.196226716,5.576208115,101.4933014,44.13017273
284.60375,-6.684594631,-1.252393126,4.996877193,100.4593887,44.19452286
292.73125,-6.753239632,-0.90548408,7.382343769,100.6661682,43.72263718
298.91875,-12.74006939,-0.696427822,9.696969986,99.01190948,44.15162277
308.16125,-7.595140457,-1.962501407,6.49175024,103.7679138,40.80553818
316.43625,-7.149199963,-1.047496438,7.25075531,102.5272141,42.28553391
322.79375,-5.833199024,-0.757517338,9.437671661,100.6661682,42.54292679
330.24375,-14.38340855,-0.72428894,8.05369091,99.21868896,44.13017273
337.69625,NA,-1.786539316,8.050989151,104.5950394,39.36843872
339.93125,NA,NA,NA,101.4933014,41.79220581
342.21625,NA,NA,NA,99.42547607,42.9719162
351.89125,-6.806969643,NA,6.201550484,111.2120819,NA
362.33875,-8.758636475,-1.185263634,5.743000507,106.4560852,41.14872742
367.75375,-4.232536793,-0.790466905,11.08033276,104.3882446,41.36322021
373.00375,-10.50087547,-0.370346963,11.4285717,101.9068604,42.47858047
382.64875,-8.513195992,-1.688015699,6.220839977,102.3204346,42.54292679
